# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:u'
# Event count (approx.): 2989206917
#
# Overhead  Command    Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .........  ....................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.09%  proto_run  libc.so.6             [.] 0x00000000000a4469
     0.09%  proto_run  proto_run             [.] fleetbench::proto::Message2_Set_1(fleetbench::proto::Message2*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
     0.09%  proto_run  proto_run             [.] absl::lts_20240116::log_internal::GetReferenceableValue(unsigned long)
     0.09%  proto_run  proto_run             [.] fleetbench::proto::Message9_M3_M13_M24_M35::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.09%  proto_run  proto_run             [.] google::protobuf::RepeatedField<long>::elements() const
     0.09%  proto_run  libc.so.6             [.] 0x00000000000a26a0
     0.09%  proto_run  proto_run             [.] unsigned char* google::protobuf::internal::WireFormatLite::WriteInt64ToArrayWithField<4>(google::protobuf::io::EpsCopyOutputStream*, long, unsigned char*)
     0.09%  proto_run  proto_run             [.] fleetbench::proto::Message6_M4_M6_M18_M29_M41_M46::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.09%  proto_run  libc.so.6             [.] 0x00000000001a688d
     0.08%  proto_run  libc.so.6             [.] 0x00000000000a1865
     0.08%  proto_run  libc.so.6             [.] 0x00000000000a18e0
     0.08%  proto_run  proto_run             [.] unsigned char* google::protobuf::internal::WireFormatLite::WriteInt64ToArrayWithField<3>(google::protobuf::io::EpsCopyOutputStream*, long, unsigned char*)
     0.08%  proto_run  libc.so.6             [.] 0x00000000000a3e85
     0.08%  proto_run  libc.so.6             [.] 0x00000000001a68ea
     0.08%  proto_run  libc.so.6             [.] 0x00000000000a39b0
     0.08%  proto_run  libc.so.6             [.] 0x00000000000a44ae
     0.08%  proto_run  proto_run             [.] google::protobuf::internal::(anonymous namespace)::ScopedCheckPtrInvariants::ScopedCheckPtrInvariants(google::protobuf::internal::TaggedStringPtr const*)
     0.08%  proto_run  libc.so.6             [.] 0x00000000000a425a
     0.08%  proto_run  proto_run             [.] fleetbench::proto::Message7_M6_M12_M30_M35_M61::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.08%  proto_run  proto_run             [.] fleetbench::proto::Message8_M2::ByteSizeLong() const
     0.08%  proto_run  proto_run             [.] google::protobuf::internal::RepeatedPtrFieldBase::DestroyProtos()
     0.08%  proto_run  proto_run             [.] fleetbench::proto::Message2_M4_M16_M32_M55::_InternalSerialize(unsigned char*, google::protobuf::io::EpsCopyOutputStream*) const
     0.08%  proto_run  proto_run             [.] google::protobuf::MessageLite::AppendPartialToString(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*) const
     0.08%  proto_run  proto_run             [.] google::protobuf::io::CodedOutputStream::VarintSize32SignExtended(int)
     0.08%  proto_run  proto_run             [.] fleetbench::proto::Message8_M1_M4_M15_M23_M40_M48_M73_M79::ByteSizeLong() const
